"birth_rate";"compet";"a";"t0";"k";"compet2";"n_immig";"n_alive_0";"n_alive_1";"n_alive_2";"n_alive_3";"n_alive_4";"n_alive_5";"n_alive_6";"n_alive_7";"n_alive_8";"n_alive_9";"n_alive_10";"n_alive_11";"n_alive_12";"n_alive_13";"n_alive_14";"n_alive_15";"n_alive_16";"n_alive_17";"n_alive_18";"n_alive_19";"n_alive_20";"n_alive_21";"n_alive_22";"n_alive_23";"n_alive_24";"n_alive_25";"n_alive_26";"n_alive_27";"n_alive_28";"n_alive_29";"n_alive_30";"n_alive_31";"n_alive_32";"n_alive_33";"n_alive_34";"n_alive_35";"n_alive_36";"n_alive_37";"n_alive_38";"n_alive_39";"n_alive_40";"n_alive_41";"n_alive_42";"n_alive_43";"n_alive_44";"n_alive_45";"n_alive_46";"n_alive_47";"n_alive_48";"n_alive_49";"smurf_rate_0";"smurf_rate_1";"smurf_rate_2";"smurf_rate_3";"smurf_rate_4";"smurf_rate_5";"smurf_rate_6";"smurf_rate_7";"smurf_rate_8";"smurf_rate_9";"smurf_rate_10";"smurf_rate_11";"smurf_rate_12";"smurf_rate_13";"smurf_rate_14";"smurf_rate_15";"smurf_rate_16";"smurf_rate_17";"smurf_rate_18";"smurf_rate_19";"smurf_rate_20";"smurf_rate_21";"smurf_rate_22";"smurf_rate_23";"smurf_rate_24";"smurf_rate_25";"smurf_rate_26";"smurf_rate_27";"smurf_rate_28";"smurf_rate_29";"smurf_rate_30";"smurf_rate_31";"smurf_rate_32";"smurf_rate_33";"smurf_rate_34";"smurf_rate_35";"smurf_rate_36";"smurf_rate_37";"smurf_rate_38";"smurf_rate_39";"smurf_rate_40";"smurf_rate_41";"smurf_rate_42";"smurf_rate_43";"smurf_rate_44";"smurf_rate_45";"smurf_rate_46";"smurf_rate_47";"smurf_rate_48";"smurf_rate_49";"age_0_smurf0";"age_1_smurf0";"age_2_smurf0";"age_3_smurf0";"age_4_smurf0";"age_5_smurf0";"age_6_smurf0";"age_7_smurf0";"age_8_smurf0";"age_9_smurf0";"age_10_smurf0";"age_11_smurf0";"age_12_smurf0";"age_13_smurf0";"age_14_smurf0";"age_15_smurf0";"age_16_smurf0";"age_17_smurf0";"age_18_smurf0";"age_19_smurf0";"age_20_smurf0";"age_21_smurf0";"age_22_smurf0";"age_23_smurf0";"age_24_smurf0";"age_25_smurf0";"age_26_smurf0";"age_27_smurf0";"age_28_smurf0";"age_29_smurf0";"age_0_smurf1";"age_1_smurf1";"age_2_smurf1";"age_3_smurf1";"age_4_smurf1";"age_5_smurf1";"age_6_smurf1";"age_7_smurf1";"age_8_smurf1";"age_9_smurf1";"age_10_smurf1";"age_11_smurf1";"age_12_smurf1";"age_13_smurf1";"age_14_smurf1";"age_15_smurf1";"age_16_smurf1";"age_17_smurf1";"age_18_smurf1";"age_19_smurf1";"age_20_smurf1";"age_21_smurf1";"age_22_smurf1";"age_23_smurf1";"age_24_smurf1";"age_25_smurf1";"age_26_smurf1";"age_27_smurf1";"age_28_smurf1";"age_29_smurf1"
"0.1";1e-04;"0.009";5;"0.1911";1e-06;9;10;24;32;48;57;69;82;99;112;127;149;162;184;200;215;228;245;264;274;283;307;332;355;383;406;424;430;434;443;455;482;516;519;530;552;558;562;568;583;610;627;612;618;630;646;638;661;676;683;681;"0";"0.0416666666666667";"0.03125";"0.145833333333333";"0.175438596491228";"0.144927536231884";"0.158536585365854";"0.181818181818182";"0.169642857142857";"0.125984251968504";"0.134228187919463";"0.154320987654321";"0.152173913043478";"0.155";"0.13953488372093";"0.105263157894737";"0.130612244897959";"0.166666666666667";"0.153284671532847";"0.134275618374558";"0.110749185667752";"0.102409638554217";"0.11830985915493";"0.114882506527415";"0.118226600985222";"0.125";"0.148837209302326";"0.138248847926267";"0.148984198645598";"0.136263736263736";"0.139004149377593";"0.12984496124031";"0.121387283236994";"0.130188679245283";"0.119565217391304";"0.120071684587814";"0.122775800711744";"0.109154929577465";"0.111492281303602";"0.108196721311475";"0.119617224880383";"0.120915032679739";"0.13915857605178";"0.147619047619048";"0.145510835913313";"0.161442006269592";"0.154311649016641";"0.158284023668639";"0.161054172767204";"0.154185022026432";55;55;46;52;42;37;30;36;22;34;23;24;19;18;7;15;8;8;16;8;4;2;2;2;3;2;2;2;1;1;0;0;1;0;1;0;0;1;2;2;5;4;2;6;6;8;8;9;5;7;6;7;1;3;2;2;2;1;5;1
"0.1";1e-04;"0.009";5;"0.1911";1e-07;9;11;23;36;45;55;74;80;98;112;126;132;159;171;189;209;227;239;257;281;287;310;336;352;369;391;418;439;456;476;489;514;519;521;543;554;577;593;608;613;634;638;666;680;688;691;704;706;689;687;690;"0";"0.130434782608696";"0.0833333333333333";"0.111111111111111";"0.0909090909090909";"0.108108108108108";"0.0875";"0.13265306122449";"0.178571428571429";"0.182539682539683";"0.143939393939394";"0.125786163522013";"0.105263157894737";"0.100529100529101";"0.100478468899522";"0.0969162995594714";"0.121338912133891";"0.147859922178988";"0.145907473309609";"0.13588850174216";"0.119354838709677";"0.125";"0.125";"0.111111111111111";"0.135549872122762";"0.117224880382775";"0.109339407744875";"0.111842105263158";"0.105042016806723";"0.120654396728016";"0.126459143968872";"0.121387283236994";"0.130518234165067";"0.130755064456722";"0.128158844765343";"0.1421143847487";"0.139966273187184";"0.144736842105263";"0.125611745513866";"0.134069400630915";"0.134796238244514";"0.12012012012012";"0.122058823529412";"0.120639534883721";"0.131693198263386";"0.127840909090909";"0.127478753541076";"0.142235123367199";"0.151382823871907";"0.142028985507246";67;47;51;42;40;42;34;31;45;23;23;23;21;19;14;15;10;4;12;7;4;5;3;4;3;0;1;0;0;2;0;0;0;0;0;1;4;4;1;5;6;4;3;4;5;2;6;7;6;3;5;1;3;4;4;4;3;5;1;2
"38";43;"36";30;"14";20;20;16;6;8;6;3;2;1;0;1;1;1;0;0;0;0;1;3;4;2;3;6;3;6;6;6;7;9;3;4;7;3;3;2;6;3;1;1;3;1;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"0.3";1e-04;"0.009";5;"0.1911";1e-06;9;11;24;38;65;96;144;184;242;312;376;497;627;792;963;1183;1405;1612;1804;1974;2099;2274;2448;2550;2615;2688;2805;2852;2851;2872;2786;2760;2780;2883;2854;2833;2796;2832;2822;2873;2894;2903;2889;2956;2972;2944;2916;3014;2906;2939;2924;"0";"0.0833333333333333";"0.105263157894737";"0.0615384615384615";"0.0520833333333333";"0.0486111111111111";"0.0597826086956522";"0.0537190082644628";"0.0384615384615385";"0.0398936170212766";"0.0382293762575453";"0.0318979266347687";"0.029040404040404";"0.0353063343717549";"0.0363482671174979";"0.0298932384341637";"0.0279156327543424";"0.0260532150776053";"0.0258358662613982";"0.0257265364459266";"0.0268249780123131";"0.0277777777777778";"0.0286274509803922";"0.0282982791586998";"0.0286458333333333";"0.0306595365418895";"0.0305049088359046";"0.0301648544370396";"0.0264623955431755";"0.0276381909547739";"0.0268115942028985";"0.0266187050359712";"0.0277488727020465";"0.0315346881569727";"0.0345923049770561";"0.0304005722460658";"0.0282485875706215";"0.0248051027639972";"0.0271493212669683";"0.0279889426399447";"0.0289355838787461";"0.0245759778470059";"0.0216508795669824";"0.0205248990578735";"0.0244565217391304";"0.0216049382716049";"0.0218978102189781";"0.0206469373709566";"0.0221163661109221";"0.0253077975376197";739;569;422;323;219;146;135;85;48;53;32;24;11;13;8;7;6;4;2;2;0;2;0;0;1;0;0;0;0;0;1;3;2;2;5;10;4;7;7;9;5;5;3;3;1;1;4;0;1;0;0;0;0;1;0;0;0;0;0;0
"0.2";1e-05;"0.009";5;"0.1911";1e-06;9;7;17;34;52;72;86;114;138;174;206;263;318;385;471;581;672;788;944;1125;1323;1565;1846;2153;2543;2984;3501;3970;4548;5160;5830;6614;7434;8181;8939;9697;10444;11162;11788;12363;12977;13443;13898;14451;14867;15067;15357;15578;15825;16038;16201;"0";"0";"0.0882352941176471";"0.0769230769230769";"0.0972222222222222";"0.116279069767442";"0.087719298245614";"0.0869565217391304";"0.0919540229885057";"0.0825242718446602";"0.0798479087452472";"0.0754716981132075";"0.0649350649350649";"0.059447983014862";"0.0619621342512909";"0.068452380952381";"0.0621827411167513";"0.0466101694915254";"0.0426666666666667";"0.0513983371126228";"0.05814696485623";"0.0563380281690141";"0.0538783093358105";"0.0546598505701927";"0.0566353887399464";"0.0599828620394173";"0.0576826196473552";"0.0578276165347405";"0.0554263565891473";"0.0566037735849057";"0.0612337465981252";"0.0602636534839925";"0.0666177728884";"0.0685759033448932";"0.0661029184283799";"0.0674071237073918";"0.0702383085468554";"0.0755005089921955";"0.0762759847933349";"0.0793711951914926";"0.0792233876366882";"0.0813786156281479";"0.0790948723271746";"0.0810519943499025";"0.0820999535408509";"0.080419352738165";"0.0783797663371421";"0.0818325434439179";"0.0842374360892879";"0.0849330288253811";2735;2276;1886;1580;1280;1005;861;694;582;440;366;267;214;151;123;99;74;55;41;27;18;15;13;12;6;3;0;0;0;0;16;40;66;87;78;92;102;85;91;96;76;86;61;44;69;49;46;31;33;27;25;21;18;7;6;4;4;4;3;2
"0.3";1e-04;"0.009";5;"0.1911";1e-07;9;8;23;32;49;88;119;169;261;352;446;588;724;916;1137;1381;1576;1807;2045;2212;2313;2436;2580;2660;2700;2728;2689;2756;2800;2872;2859;2857;2856;2862;2824;2882;2856;2811;2796;2826;2863;2834;2858;2849;2879;2884;2926;2969;2922;2903;2910;"0.125";"0.0869565217391304";"0.03125";"0.0408163265306122";"0.0340909090909091";"0.0252100840336134";"0.0236686390532544";"0.0344827586206897";"0.0369318181818182";"0.0381165919282511";"0.0306122448979592";"0.0303867403314917";"0.0262008733624454";"0.0237467018469657";"0.0224475018102824";"0.0209390862944162";"0.0226895406751522";"0.0210268948655257";"0.0253164556962025";"0.0255079982706442";"0.0279146141215107";"0.0228682170542636";"0.0229323308270677";"0.0211111111111111";"0.0245601173020528";"0.0241725548531052";"0.0206821480406386";"0.0192857142857143";"0.0215877437325905";"0.0202868135711787";"0.0213510675533777";"0.0217086834733894";"0.0248078266946191";"0.021600566572238";"0.0225537820957668";"0.0210084033613445";"0.0170757737459979";"0.0175250357653791";"0.016277423920736";"0.0202584701362207";"0.0204657727593507";"0.0206438068579426";"0.0245700245700246";"0.02257728377909";"0.0225381414701803";"0.0184552289815448";"0.0202088245200404";"0.0184804928131417";"0.0155012056493283";"0.0154639175257732";727;560;409;316;220;174;134;87;53;52;27;21;24;15;15;8;8;4;4;2;0;2;0;0;0;1;0;1;0;0;0;2;2;0;1;4;3;2;7;1;4;6;4;4;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0
"0.2";1e-05;"0.009";5;"0.1911";1e-07;9;15;25;41;59;86;115;154;195;249;317;391;493;601;731;876;1042;1237;1513;1788;2114;2458;2870;3361;3863;4469;5142;5862;6643;7417;8208;8978;9802;10638;11344;12025;12795;13472;13937;14535;15213;15637;15961;16387;16650;16778;17101;17211;17371;17447;17593;"0";"0.04";"0.0487804878048781";"0.0338983050847458";"0.0348837209302326";"0.0434782608695652";"0.0584415584415584";"0.041025641025641";"0.0441767068273092";"0.0410094637223975";"0.0358056265984655";"0.0446247464503043";"0.0465890183028286";"0.0465116279069767";"0.0468036529680365";"0.0489443378119002";"0.0485044462409054";"0.0541969596827495";"0.0576062639821029";"0.054872280037843";"0.0573637103336046";"0.0588850174216028";"0.0526628979470396";"0.0522909655707999";"0.0512418885656746";"0.0534811357448464";"0.0544182872739679";"0.0569020021074816";"0.0582445732776055";"0.0543372319688109";"0.0554689240365338";"0.0532544378698225";"0.0518894529046813";"0.05024682651622";"0.0527234927234927";"0.0509574052364205";"0.0529988123515439";"0.0496520054531104";"0.0480220158238734";"0.0492342075856176";"0.0517362665472917";"0.0516884906960717";"0.0517483370964789";"0.050990990990991";"0.0497079508880677";"0.049061458394246";"0.0511300912207309";"0.0535950722468482";"0.0519286983435548";"0.0512135508440857";3056;2536;2149;1721;1495;1172;983;798;626;515;399;303;229;179;124;110;86;41;55;28;22;22;17;5;5;8;1;3;2;1;2;2;5;20;25;37;53;67;55;54;65;61;56;63;57;54;44;27;25;33;17;13;11;9;8;12;12;3;3;1
"0.2";1e-06;"0.009";5;"0.1911";1e-06;9;7;16;34;49;62;87;108;139;174;213;270;319;396;475;569;689;840;1001;1217;1465;1741;2105;2532;3054;3703;4401;5288;6268;7442;8816;10475;12360;14531;16979;19720;22889;26386;30361;34610;38982;43600;48450;53248;58160;62705;67188;71120;74909;78364;81499;"0";"0";"0.0294117647058824";"0.0204081632653061";"0.0161290322580645";"0.0459770114942529";"0.0740740740740741";"0.0647482014388489";"0.0747126436781609";"0.07981220657277";"0.0740740740740741";"0.0783699059561129";"0.0757575757575758";"0.0568421052631579";"0.0632688927943761";"0.0595065312046444";"0.0607142857142857";"0.0679320679320679";"0.0509449465899754";"0.0566552901023891";"0.0534175761056864";"0.0479809976247031";"0.0485781990521327";"0.0468238375900458";"0.0480691331352957";"0.0520336287207453";"0.0554084720121029";"0.0601467772814295";"0.0612738511152916";"0.0604582577132486";"0.0621479713603819";"0.0669902912621359";"0.0715023054160072";"0.0770363390070087";"0.0811359026369168";"0.0866791908777142";"0.0919426968847116";"0.102532854649056";"0.110083790811904";"0.119542352880817";"0.128279816513761";"0.138080495356037";"0.150108924278846";"0.159525447042641";"0.169938601387449";"0.182279573733405";"0.192041619797525";"0.202111895766864";"0.212227553468429";"0.222064074405821";11728;9658;8196;6631;5507;4517;3708;2859;2453;1900;1424;1183;889;677;510;411;313;225;159;131;100;68;54;35;21;14;12;7;3;2;460;1055;1399;1424;1589;1478;1439;1281;1212;1070;958;791;668;576;498;392;361;318;237;206;179;128;77;66;56;37;36;30;18;16
